ISO3;Land;Jahr;PM2,5 (ug/m3);PM10 (ug/m3);NO2 (ug/m3);Gesamtschadstoffe (ug/m3);Erkrankungen des Kreislaufsystems (Todesfalle pro 100.000);Erkrankungen der Atemwege (Todesfalle pro 100.000);Krebs der Atemwege (Todesfalle pro 100.000);Todesfalle insgesamt (pro 100.000);Fossiler_Energieerzeugung (TWh);nukleare_Energieerzeugung (TWh);Erneuerbare_Energieerzeugung (TWh);Erneuerbare + nukleare_Energieerzeugung (TWh)
AUT;Austria;2010;18,14;22,98;21,86;62,98;207,07;4,94;15,87;227,88;23;0;45;45
AUT;Austria;2011;16,1;22,13;25;63,23;196,78;4,99;15,51;217,28;21;0;41;41
AUT;Austria;2012;15;21;24;60;199,9;4,4;14,72;219,02;17;0;51;51
AUT;Austria;2013;15,9;20,75;21,08;57,73;197,92;5,19;14,13;217,24;14;0;50;50
AUT;Austria;2014;13,11;18,09;19,42;50,62;187,53;3,81;14,52;205,86;11;0;50;50
AUT;Austria;2015;13,71;19,37;20,37;53,45;196,54;5,12;13,45;215,11;14;0;48;48
AUT;Austria;2016;12,14;16,86;19,05;48,05;181,58;4,61;13,18;199,37;14;0;51;51
AUT;Austria;2017;12,58;17,26;19,14;48,98;177,55;4,99;12,62;195,16;16;0;51;51
AUT;Austria;2018;13,56;18,65;17,61;49,82;173,97;6,07;12,45;192,49;15;0;50;50
AUT;Austria;2019;11,09;15,5;16,64;43,23;168,52;5,13;11,4;185,05;16;0;55;55
BEL;Belgium;2010;16,72;26,1;25,02;67,84;159,44;9,23;19,19;187,86;39;48;6;54
BEL;Belgium;2011;15,5;24,12;24,89;64,51;149,24;9,22;18,99;177,45;32;48;8;56
BEL;Belgium;2012;15;23,8;24,56;63,36;146,61;8,3;18,21;173,12;31;40;10;50
BEL;Belgium;2013;14,81;23,5;23,98;62,29;142,15;9,13;17,79;169,07;27;43;12;55
BEL;Belgium;2014;12,18;20,56;21,75;54,49;132,71;7,67;16,75;157,13;25;34;12;46
BEL;Belgium;2015;12,63;20,52;21,02;54,17;135,83;8,46;16,5;160,79;28;26;14;40
BEL;Belgium;2016;12,45;19,79;21,66;53,9;127,25;8,71;15,37;151,33;26;44;14;58
BEL;Belgium;2017;12,11;19,56;21,63;53,3;124,29;7,54;13,91;145,74;27;42;16;58
BEL;Belgium;2018;12,55;20,87;20,02;53,44;117,68;8,89;13,06;139,63;28;29;17;46
BEL;Belgium;2019;10,93;18,67;18,74;48,34;108,92;7,77;12,09;128,78;29;42;19;61
BGR;Bulgaria;2010;23,85;44,92;21,51;90,28;621,69;17,22;20,71;659,62;25;15;6;21
BGR;Bulgaria;2011;22,98;42,34;21,34;86,66;595,99;15,74;21,04;632,77;30;16;4;20
BGR;Bulgaria;2012;22,32;41,35;20,46;84,13;574,47;14,87;21,21;610,55;25;16;5;21
BGR;Bulgaria;2013;19,96;39,93;18,21;78,1;541,11;13,37;20,67;575,15;22;14;7;21
BGR;Bulgaria;2014;21,74;41,49;18,6;81,83;564,56;16,1;19,72;600,38;24;16;7;23
BGR;Bulgaria;2015;23,97;37,89;18,28;80,14;558,68;14,25;20,38;593,31;25;15;9;24
BGR;Bulgaria;2016;19,23;35,32;20,17;74,72;546,62;16,78;18,37;581,77;22;16;7;23
BGR;Bulgaria;2017;19,57;33,95;18,37;71,89;552,66;16,27;18,07;587;23;16;6;22
BGR;Bulgaria;2018;19,58;32,98;18,15;70,71;538,59;16,18;18;572,77;21;16;9;25
BGR;Bulgaria;2019;16,54;29;18,34;63,88;518,87;15,97;17,95;552,79;20;17;7;24
HRV;Croatia;2010;23,57;26,66;21,29;71,52;370,71;5,12;24,49;400,32;5;0;9;9
HRV;Croatia;2011;23,46;27,87;21,05;72,38;350,93;5,39;23,92;380,24;6;0;5;5
HRV;Croatia;2012;23,12;28,65;20,78;72,55;342,02;5,59;22,64;370,25;5;0;5;5
HRV;Croatia;2013;23,01;31,18;20,24;74,43;324,09;5,56;23,94;353,59;5;0;9;9
HRV;Croatia;2014;20,04;26,63;18,67;65,34;314,03;4,73;23,6;342,36;3;0;10;10
HRV;Croatia;2015;15,61;24,86;19,79;60,26;330,69;6,32;23,43;360,44;4;0;8;8
HRV;Croatia;2016;17,27;25,4;18,62;61,29;291,98;5,15;22,06;319,19;4;0;8;8
HRV;Croatia;2017;15,55;23,02;19,73;58,3;290,83;5,49;22,32;318,64;5;0;7;7
HRV;Croatia;2018;15,68;24,01;15,22;54,91;281,65;5,13;20,43;307,21;4;0;10;10
HRV;Croatia;2019;13,72;22,04;17,13;52,89;261,53;6,26;18,98;286,77;4;0;8;8
CYP;Cyprus;2010;20,05;45,27;18,31;83,63;179,55;4,77;7,26;191,58;5;0;5;0
CYP;Cyprus;2011;19,83;41,36;17,87;79,06;193,28;2,91;9,69;205,88;5;0;5;0
CYP;Cyprus;2012;18,34;38,93;17,03;74,3;184,83;3,17;9,75;197,75;4;0;4;0
CYP;Cyprus;2013;15,96;36,92;16,47;69,35;161,53;3,25;8,5;173,28;4;0;4;0
CYP;Cyprus;2014;16,2;33,66;16,38;66,24;166,18;2,76;8,26;177,2;4;0;4;0
CYP;Cyprus;2015;15,95;34,4;16,96;67,31;179,05;4;9,61;192,66;4;0;4;0
CYP;Cyprus;2016;11,51;29,28;16,22;57,01;153,03;3,69;7,53;164,25;4;0;4;0
CYP;Cyprus;2017;13,72;26,87;15,03;55,62;160,23;3,95;9,22;173,4;5;0;5;0
CYP;Cyprus;2018;12,94;33,14;14,35;60,43;137,54;3,61;9,83;150,98;5;0;5;0
CYP;Cyprus;2019;13,03;24,15;14,92;52,1;132,35;4,56;8,47;145,38;4;0;4;0
CZE;Czechia;2010;23,61;29,07;19,31;71,99;344,14;11,41;17,93;373,48;51;28;6;34
CZE;Czechia;2011;21,34;27,43;19,02;67,79;331,47;10,48;16,81;358,76;51;28;7;35
CZE;Czechia;2012;20,65;26,87;18,43;65,95;325,05;9,27;16,72;351,04;48;30;8;38
CZE;Czechia;2013;20,16;25,9;17,7;63,76;309,72;10,89;14,81;335,42;46;31;9;40
CZE;Czechia;2014;19,37;25,63;16,78;61,78;284,47;8,77;13,96;307,2;46;30;9;39
CZE;Czechia;2015;17,95;23,31;16,32;57,58;291,15;10,46;13,04;314,65;46;27;9;36
CZE;Czechia;2016;18,46;21,8;15;55,26;266,6;10,62;12,69;289,91;49;24;9;33
CZE;Czechia;2017;18,75;22,19;15,01;55,95;270,04;9,92;12,26;292,22;48;28;10;38
CZE;Czechia;2018;20,41;24,48;14,91;59,8;261,6;10,41;11,26;283,27;48;30;9;39
CZE;Czechia;2019;15,28;19,42;14,76;49,46;249,34;10,63;10,6;270,57;46;30;9;39
DNK;Denmark;2010;15,09;21,55;25,33;61,97;154,53;9,33;16,82;180,68;26;0;12;12
DNK;Denmark;2011;14,98;21,22;22,34;58,54;139,19;9,8;15,72;164,71;21;0;14;14
DNK;Denmark;2012;14,03;21,98;21,65;57,66;135,85;8,69;15,8;160,34;16;0;15;15
DNK;Denmark;2013;11,06;21,74;18,14;50,94;129,84;8,67;15,44;153,95;19;0;16;16
DNK;Denmark;2014;13,26;22,19;18;53,45;121,62;8,54;15,67;145,83;14;0;18;18
DNK;Denmark;2015;11,26;20,66;12,54;44,46;123,53;8,72;14,53;146,78;10;0;19;19
DNK;Denmark;2016;10,29;18,73;12,78;41,8;123,34;9,4;13,86;146,6;12;0;18;18
DNK;Denmark;2017;9,41;17,99;11,95;39,35;117,57;8,77;13,01;139,35;9;0;22;22
DNK;Denmark;2018;12,22;21,1;12,07;45,39;112,62;9,41;11,37;133,4;10;0;21;21
DNK;Denmark;2019;10,24;18,85;10,7;39,79;105,42;8,81;11,47;125,7;7;0;23;23
FIN;Finland;2010;8,53;14,89;16,76;40,18;213,57;4,7;9,91;228,18;33;23;24;47
FIN;Finland;2011;7,87;14,56;16,39;38,82;203,69;4,96;9,37;218,02;26;23;24;47
FIN;Finland;2012;7,43;13,89;15,56;36,88;198,52;3,85;8,59;210,96;19;23;29;52
FIN;Finland;2013;6,41;13,14;14,3;33,85;187,11;3,89;8,84;199,84;22;24;26;50
FIN;Finland;2014;7,61;14,6;14,65;36,86;181,82;3,49;7,89;193,2;18;24;26;50
FIN;Finland;2015;5,7;12,48;13,35;31,53;175,61;3,22;7,46;186,29;15;23;31;54
FIN;Finland;2016;5,73;11,93;13,05;30,71;173,87;4,36;8,01;186,24;15;23;30;53
FIN;Finland;2017;4,51;10,54;12,31;27,36;165,97;3,35;7,59;176,91;13;22;31;53
FIN;Finland;2018;6,02;13,12;11,71;30,85;160,78;3,3;6,97;171,05;15;23;32;55
FIN;Finland;2019;5,31;11,39;10,49;27,19;152,69;3,18;6,35;162,22;13;24;31;55
FRA;France;2010;17,75;24,38;23,07;65,2;113,9;4,63;19,56;138,09;58;429;78;507
FRA;France;2011;14,65;26,87;22,32;63,84;107,15;4,99;19,74;131,88;59;442;66;508
FRA;France;2012;13,87;20,54;22,43;56,84;105,52;4,51;19,45;129,48;56;425;85;510
FRA;France;2013;11,25;19,87;21,87;52,99;101,52;4,61;18,69;124,82;53;424;99;523
FRA;France;2014;9,02;19,43;10,53;38,98;97,2;4,26;19,01;120,47;36;436;94;530
FRA;France;2015;12,75;20,04;20,16;52,95;96,37;4,76;18,78;119,91;45;437;92;529
FRA;France;2016;11,57;18,15;19,09;48,81;94,25;4,5;17,67;116,42;57;403;99;502
FRA;France;2017;10,97;18,24;18,81;48,02;93,62;4,63;16,6;114,85;65;398;93;491
FRA;France;2018;10,37;17,67;17,45;45,49;92,07;5,4;15,92;113,39;50;413;113;526
FRA;France;2019;9,42;17,02;16,6;43,04;91,05;4,9;15,67;111,62;54;399;112;511
DEU;Germany;2010;17,35;22,57;25,71;65,63;208,71;6,96;15,51;231,18;381;141;105;246
DEU;Germany;2011;16,24;22,02;25,32;63,58;196,6;7,31;15,63;219,54;375;108;124;232
DEU;Germany;2012;15,65;21,37;24,98;62;195,2;6,49;15,32;217,01;381;100;143;243
DEU;Germany;2013;14,11;19,76;29,82;63,69;199,75;7,6;15,58;222,93;383;97;152;249
DEU;Germany;2014;14,03;19,46;25,51;59;186,28;6,68;15,16;208,12;362;97;163;260
DEU;Germany;2015;12,68;18,32;25,02;56,02;191,14;7,68;14,89;213,71;362;92;189;281
DEU;Germany;2016;12,2;17,07;24,9;54,17;178,23;7,24;14,53;200;371;85;190;275
DEU;Germany;2017;12,08;16,82;23,6;52,5;177,31;7,19;13,68;198,18;355;76;217;293
DEU;Germany;2018;12,58;17,95;23,74;54,27;175,5;7,9;13,36;196,76;337;76;225;301
DEU;Germany;2019;10,36;15,56;21,72;47,64;164,51;7,3;12,45;184,26;286;75;242;317
