ISO3;PM2,5_avg_jahr;PM10_avg_jahr;NO2_avg_jahr
AUT;14,133;19,259;20,417
BEL;13,488;21,749;22,327
BGR;20,974;37,917;19,343
CHE;11,944;16,246;22,651
CYP;15,753;34,398;16,354
CZE;19,598;24,61;16,724
DEU;13,728;19,09;25,032
DNK;12,184;20,601;16,55
ESP;9,758;19,097;16,106
FIN;6,512;13,054;13,857
FRA;12,162;20,221;19,233
GBR;10,895;16,718;24,265
GRC;16,015;32,898;25,019
HRV;18,61888889;26,032;19,252
HUN;16,44;26,46;18,118
IRL;9,168;14,928;13,614
ISL;6,486;11,936;7,078
ITA;17,529;25,123;23,373
LTU;13,832;25,233;14,455
LUX;12,122;18,661;22,283
LVA;15,783;22,002;18,698
MLT;12,949;31,606;16,469
NLD;13,466;21,034;22,721
NOR;7,851;17,081;24,257
POL;24,162;32,629;16,564
PRT;7,798;20,281;16,819
ROU;16,464;24,238;19,625
SVK;18,884;27,659;22,642
SVN;16,64;24,719;20,537
SWE;6,532;16,289;16,456
